County,Center Name,Peer Service Coordinator,Coverage Area,Phone Number,Email,Address,City,Zip Code,Longitude/Latitude,Location URL
Montgomery,Tri-County Behavioral Healthcare,Shirley Uriostegui,Conroe Area,(936)521-6132,ShirleyU@tcbhc.org,233 Sgt Ed Holcomb - Conroe,Conroe,77304,"30.305269618966673, -95.48268683124117",https://goo.gl/maps/SVNgoSuEpxmWNxCdA
Walker,Tri-County Behavioral Healthcare,Shirley Uriostegui,Conroe Area,(936)521-6132,ShirleyU@tcbhc.org,233 Sgt Ed Holcomb - Conroe,Conroe,77304,"30.305269618966673, -95.48268683124117",https://goo.gl/maps/SVNgoSuEpxmWNxCdA
Cameron,Tropical Texas Behavioral Health,Anthony Beltran,Rio Grande Valley,956-520-8967,anbeltran@ttbh.org,1901 S. 24th Ave,Edinburg,78539,"26.28255994662634, -98.1520573601664",https://goo.gl/maps/JNRFghCj27ukpwD19
Hidalgo,Tropical Texas Behavioral Health,Anthony Beltran,Rio Grande Valley,956-520-8967,anbeltran@ttbh.org,1901 S. 24th Ave,Edinburg,78539,"26.28255994662634, -98.1520573601664",https://goo.gl/maps/JNRFghCj27ukpwD19
Willacy,Tropical Texas Behavioral Health,Anthony Beltran,Rio Grande Valley,956-520-8967,anbeltran@ttbh.org,1901 S. 24th Ave,Edinburg,78539,"26.28255994662634, -98.1520573601664",https://goo.gl/maps/JNRFghCj27ukpwD19
Andrews,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Borden,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Crane,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Dawson,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Fisher,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Gaines,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Garza,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Glasscock,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Howard,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Kent,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Loving,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Martin,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Mitchell,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Nolan,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Reeves,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Runnels,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Scurry,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Terrell,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Terry,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Upton,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Ward,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Winkler,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
Yoakum,West Texas Centers,Vince Ramirez,Big Springs,432-606-4947,vince.ramirez@wtchmr.org,3205 S. Hwy 87,Big Spring,79720,"32.21981266032257, -101.46943813119448",https://goo.gl/maps/PA8T4xams6tVP3Tr6
